lot_size,sqft,sale_price,sale_month,std_sqft,std_lot
43124.4,1296,72000,Apr-19,-0.676740123,1.505589819
23958,1552,184900,Apr-19,-0.28319699,0.312015322
17859.6,3595,329000,Apr-19,2.857461682,-0.067758382
11325.6,978,75720,Apr-19,-1.165594483,-0.474658779
24829.2,1418,159900,Apr-19,-0.489192223,0.366268708
9365,1395,157000,Apr-19,-0.524549614,-0.596753808
55321.2,1473,189900,Mar-19,-0.404641941,2.265137227
32234.4,1872,185000,Mar-19,0.208731926,0.827422491
5227,720,133000,Mar-19,-1.562212171,-0.854444937
4147,1452,270000,Mar-19,-0.436924776,-0.921701201
8100,1572,222500,Mar-19,-0.252451433,-0.67553082
17859.6,2588,245000,Mar-19,1.309422875,-0.067758382
18295.2,2882,251500,Mar-19,1.761382567,-0.040631689
14810.4,1878,195000,Mar-19,0.217955593,-0.257645234
10281,2198,284000,Mar-19,0.709884509,-0.539710532
8712,1238,240000,Mar-19,-0.765902239,-0.637418938
6150,780,247200,Mar-19,-1.469975499,-0.796965741
6098,1532,348000,Mar-19,-0.313942547,-0.800204006
20473.2,1656,210000,Mar-19,-0.123320092,0.095001777
12632.4,2964,280000,Mar-19,1.887439351,-0.393278699
28749.6,1500,187900,Feb-19,-0.363135439,0.610408946
62290.8,1885,187500,Feb-19,0.228716538,2.699164316
20037.6,1248,140000,Feb-19,-0.75052946,0.067875084
12632.4,1800,165000,Feb-19,0.09804792,-0.393278699
30927.6,1904,2.00E+05,Feb-19,0.257924818,0.746042412
8378,1304,152800,Feb-19,-0.6644419,-0.65821856
3484,1174,250000,Feb-19,-0.864288022,-0.962989074
4356,1503,225000,Feb-19,-0.358523605,-0.908685869
23522.4,2173,296500,Feb-19,0.671452562,0.284888629
14374.8,2057,172000,Feb-19,0.49312833,-0.284771927
9801,816,55500,Jan-19,-1.414633496,-0.569602205
8276,1470,23000,Jan-19,-0.409253775,-0.66457054
10890,2234,215000,Jan-19,0.765226512,-0.501785472
5408,874,127000,Jan-19,-1.32547138,-0.843173286
22215.6,1288,179900,Jan-19,-0.689038345,0.203508549
8363,1844,160200,Jan-19,0.165688146,-0.659152675
