"playerID","avgSO","avgG","avgERA","avgIBB","rookie_year","n_years","team"
"russeja01",27.8666666666667,37.1333333333333,4.49733333333333,4.49733333333333,1926,14,"BOS"
"russeja02",43.8,67.6,3.757,3.757,2010,4,"CHN"
"russeje01",49.5,42.0714285714286,3.65357142857143,3.65357142857143,1983,13,"TEX"
"russejo01",4.75,5.25,8.635,8.635,1917,5,"BRO"
"russejo02",0,1,0,0,1989,0,"ATL"
"russele01",7,4.33333333333333,4.98,4.98,1910,2,"PHA"
"russere01",70.7142857142857,34.5714285714286,2.39333333333333,2.39333333333333,1913,6,"CHA"
"russjo01",0,1,7.2,7.2,1882,0,"BL2"
"russoma01",51.8333333333333,20,3.27,3.27,1939,7,"NYA"
"rustedi01",9,8,3,3,1966,0,"NYN"
"ruthba01",48.8,16.3,3.68,3.68,1914,19,"BOS"
"ruthejo01",29,22,4.25,4.25,1952,0,"BRO"
"ruthvdi01",81.7857142857143,25.3571428571429,4.33178571428571,4.33178571428571,1973,13,"PHI"
"ryanbj01",56.8181818181818,50.9090909090909,4.54409090909091,4.54409090909091,1999,10,"BAL"
"ryancy01",0,1.5,11.57,11.57,1887,4,"BSN"
"ryanja02",10.6666666666667,8,2.83333333333333,2.83333333333333,1908,3,"BOS"
"ryanja04",17,12,6.245,6.245,1999,1,"MIN"
"ryanji01",8.6,4.8,2.694,2.694,1886,7,"CHN"
"ryanjo01",4,4,5.69,5.69,1874,2,"BL1"
"ryanjo02",33,6,3.35,3.35,1884,0,"BLU"
"ryanke01",28.125,30,5.01625,5.01625,1992,7,"BOS"
"ryanky01",4,6,2.61,2.61,2014,0,"DET"
"ryanno01",211.62962962963,29.8888888888889,3.69407407407407,3.69407407407407,1966,27,"HOU"
"ryanro01",31.5,24.8,5.429,5.429,1919,14,"NY1"
"rybami01",30.7,24,3.926,3.926,1935,11,"BOS"
"ryersga01",27.5,14.5,5.725,5.725,1972,1,"ML4"
"ryuhy01",146.5,28,3.19,3.19,2013,1,"LAN"
