"X_STATE","avgHealth","avgPhy","avgMent","avgSleep","propHealthcare","StateName"
1,2.8624150710315,13.9167291822956,13.184420459878,7.05697103972147,0.892246030522584,"alabama"
2,2.4737996053497,10.4867365823566,9.18793828892006,7.09460946094609,0.846965699208443,"alaska"
4,2.60608203677511,12.9163722025913,11.1773211567732,7.09010727056019,0.869421487603306,"arizona"
5,2.85790577913408,13.2812351543943,12.4616336633663,7.13027487417731,0.856462066336256,"arkansas"
6,2.50104275286757,11.6703667953668,10.4870415647922,7.05741209318559,0.863691718858734,"california"
8,2.38701622971286,10.6851535836177,9.44274988268419,7.18488518986401,0.88121872240212,"colorado"
9,2.39877779222468,10.62,10.1840390879479,6.9822695035461,0.921497270600468,"connecticut"
10,2.5575,11.8391061452514,11.2403051493961,7.00331190337035,0.914125820146662,"delaware"
11,2.35406504065041,9.79557367501456,9.56583629893238,7.0857497928749,0.955266368442456,"district of columbia"
12,2.68547099521022,12.9878909442092,12.3432717938592,7.06653777513385,0.857130253212952,"florida"
13,2.63737211882164,12.1811372148451,11.2215694502728,6.9878461345696,0.837157660991858,"georgia"
15,2.50331210191083,10.7070265978563,10.3771805752004,6.88382804503582,0.913870103355876,"hawaii"
16,2.52232940335834,11.2686008423023,10.2413603949534,7.12565162682006,0.855305466237942,"idaho"
17,2.54647636039251,10.2548930359581,9.48949579831933,7.08909123370827,0.901946776210037,"illinois"
18,2.66774446404076,11.9490062761506,11.0722410083,7.03106929334509,0.882444530945893,"indiana"
19,2.51454880294659,11.1817496229261,9.83403459560542,7.14984520123839,0.935202262387803,"iowa"
20,2.53784225934217,11.3123483590857,10.6454817852074,7.17660360948032,0.885064403566967,"kansas"
21,2.83747157799,13.502400698385,12.5267809319764,6.86796456910869,0.873086734693878,"kentucky"
22,2.79316924251097,12.5146693187469,11.9377007064868,7.08832745789268,0.878435114503817,"louisiana"
23,2.47603635005602,11.3963476496449,10.5430359937402,7.05860302386605,0.904389880952381,"maine"
24,2.47972556275054,10.8228956228956,10.3278861360042,6.98211904948631,0.930289944478717,"maryland"
25,2.47872623321367,11.0104739010989,10.8913086129096,6.91209530860874,0.957254144749983,"massachusetts"
26,2.55919968615143,11.7665810868635,10.5121074082954,6.99873297434273,0.902022507279452,"michigan"
27,2.38527169732149,10.0968370883882,9.27612490779444,7.13346501128668,0.929046252886432,"minnesota"
28,2.88348599137931,14.5429403202329,13.3816721776098,7.1449860724234,0.847802642221623,"mississippi"
29,2.69984513585809,13.0282131661442,12.2289609779031,7.14390665514261,0.891190979563073,"missouri"
30,2.53183791606368,12.3896949955582,10.5432692307692,7.14831038798498,0.869159846679789,"montana"
31,2.51519934525897,10.743788260713,9.50465013286094,7.15248644826774,0.908222469671218,"nebraska"
32,2.52624336544132,12.0538757559098,10.8080625752106,7.05680238331678,0.845156219296522,"nevada"
33,2.41076135835013,10.9494407158837,10.81385510312,7.06736480150047,0.902097902097902,"new hampshire"
34,2.49651711482286,11.4800652832828,11.0280631420697,6.85184056093286,0.875722326454034,"new jersey"
35,2.65723507261969,13.1156138259833,11.5667857142857,7.13642787259485,0.838079827400216,"new mexico"
36,2.52655863155526,10.5209686946249,10.2736950549451,6.87556612318841,0.895514039601745,"new york"
37,2.66987651523734,13.4514248704663,12.1810929397686,7.03921795465063,0.852225116068395,"north carolina"
38,2.5232154340836,9.93180952380952,8.63429654192326,7.12608526629519,0.918918918918919,"north dakota"
39,2.63082077051926,12.5969303423849,11.857182320442,6.91010375914271,0.900226377127526,"ohio"
40,2.73098488542175,14.112685560054,13.0131894484412,7.04380196054101,0.874437279474389,"oklahoma"
41,2.48803505224132,11.36701208981,10.5123313168916,7.16394835202175,0.869983136593592,"oregon"
42,2.58553558844257,11.6060185185185,10.9606299212598,6.96669914090869,0.906266502376342,"pennsylvania"
44,2.51889981561155,11.379164909321,11.0787172011662,6.90488792029888,0.894074301504452,"rhode island"
45,2.66026061685572,12.6319480519481,11.4524549409571,7.04410069177556,0.869198312236287,"south carolina"
46,2.48163206040366,11.4866901054746,9.51485148514852,7.20087719298246,0.912694942428217,"south dakota"
47,2.8276577355229,14.6738836265223,13.5339087546239,7,0.870239531276926,"tennessee"
48,2.68864400448263,12.2029702970297,11.5604278074866,7.12117525966127,0.795811035246355,"texas"
49,2.38878856873675,10.0534011443102,9.23525528169014,7.05641715461307,0.884346253636292,"utah"
50,2.35735547548175,10.8428884026258,9.85528942115768,7.08794685226194,0.933030112923463,"vermont"
51,2.51796939864785,11.2332120410189,11.0940491052851,6.97079677923327,0.887914691943128,"virginia"
53,2.49114924970797,11.126022913257,9.94013896312133,7.11392290249433,0.888,"washington"
54,2.85250637213254,14.4467713787086,13.9155313351499,6.89104991394148,0.854668930390492,"west virginia"
55,2.55469462169553,10.8147117296223,9.84685114503817,7.07792009759073,0.911473411549596,"wisconsin"
56,2.53023472718794,12.6405879563774,10.2035550458716,7.23364779874214,0.882801556420234,"wyoming"
